code,status,url
AQIS01800Q,DOWNLOADED,https://www.corradinipomilio.edu.it/wp-content/uploads/2024/08/GRADUATORIA_PROVVISORIA_Collaboratore-Scolastico_AQIC84100L__21082024_PDF.pdf
CHTL31500X,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg15/A2_Jayne_AMS_Hardware.pdf
BAEE088009,DOWNLOADED,https://primocircolodidatticomarconi.scuolaweb.eu/wp-content/uploads/sites/19/2021/03/2_bando_esperto_progetto_scuolarte.pdf.pades_.pdf
CTSD02000E,DOWNLOADED,https://www.liceoartisticoct.edu.it/attachments/article/991/C181.pdf
TNIS013001,FAILED,https://buonarroti.tn.it/images/PNRR/missione4_31/det98.pdf
MCIC83100E,FAILED,https://archive.org/download/ricordo-di-nicola-badaloni/Ricordo+di+Nicola+Badaloni.pdf
BSPM6Z500C,DOWNLOADED,https://www.ucop.edu/academic-personnel-programs/_files/acad-title-codes/academic-titles-sorted-salary-table.pdf
RMPS37000A,DOWNLOADED,https://www.liceomajorana.edu.it/wp-content/uploads/2025/10/28-progetti-e-programmazione.pdf
FGPM03000E,DOWNLOADED,https://www.iisfedericosecondo.it/wp-content/uploads/2025/05/C.O.E.-scuola-secondaria-II-grado-a.s.-2025-2026.pdf
RMIS112007,FAILED,https://www.itisff.it/istituto/SNV-NEV_materiali_utili/sintesi+PTOF.pdf
TNIC82900A,DOWNLOADED,https://www.ucop.edu/academic-personnel-programs/_files/acad-title-codes/academic-titles-sorted-salary-table.pdf
SOPS050001,DOWNLOADED,https://nerviferrari.edu.it/allegati/all/1804-programmi-svolti-2-asu-2223.pdf
ALIS004002,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg15/A2_Jayne_AMS_Hardware.pdf
RMIS119002,DOWNLOADED,https://www.memurlar.net/common/news/documents/437688/09090718_ebltenzelsayisi.pdf
PGIS02800V,DOWNLOADED,https://bo.istruzioneer.gov.it/wp-content/uploads/sites/3/2021/11/Interpello-nazionale-CL.-CONC.pdf
SAIS04300D,DOWNLOADED,https://www.isisfortunatoangri.edu.it/wp-content/uploads/2025/09/timbro_Oggetto-3.ESAMI-INTEGRATIVI.pdf
BNIS01100L,DOWNLOADED,https://www.liceovirgilio.edu.it/wp-content/uploads/2024/11/PTOF-2022-2025.pdf
NAIC8BV009,DOWNLOADED,https://fse.regione.campania.it/wp-content/uploads/2019/12/Allegato_1-3.pdf
RMIS10300C,DOWNLOADED,https://www.orizzontescuola.it/wp-content/uploads/2020/04/timbro_protocollo_informativa_23_marzo_2020.pdf.pades_.pdf
NAIC8E6001,DOWNLOADED,http://www.ordineingegnerinapoli.it/news/documenti-2018/2018-03-05-gragnano.pdf
PAPS3Q5009,DOWNLOADED,https://www.liceoburatti.edu.it/wp-content/uploads/2024/12/Le-scelte-strategiche1.pdf
LUIS017006,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg15/A2_Jayne_AMS_Hardware.pdf
ROPM01000Q,FAILED,https://lnx.celioroccati.edu.it/segreteria/Conferma+iscrizione+e+modulo_+2022_23_def_.pdf
CEIC87400L,DOWNLOADED,https://scuolainfanziapadova.it/wp-content/uploads/2024/11/PTOF-2024-2025-Scuola-SantAntonio-PADOVA.pdf
COPSTL500E,DOWNLOADED,https://www.wincogen.com/wp-content/uploads/PD/Manuals/PTO/winco_60706-004_15_18_20_ptof_25ptoc_opm.pdf
RERF070004,DOWNLOADED,https://backend.orbit.dtu.dk/ws/portalfiles/portal/106717071/TransmissionNIR_Kamran_et_al_MAR_69_3.pdf
CLIC81800D,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg15/A2_Jayne_AMS_Hardware.pdf
SIRH030008,FAILED,https://www.piccolominisiena.edu.it/wp-content/uploads/2023/02/Esperto-di-Musica.pdf
FEIS004001,DOWNLOADED,https://backend.orbit.dtu.dk/ws/portalfiles/portal/106717071/TransmissionNIR_Kamran_et_al_MAR_69_3.pdf
PCPC00500A,DOWNLOADED,https://www.sbenedetto.it/wp-content/uploads/2019/02/Nuovo-PTOF-2022-2025-1.pdf
TVIS004007,FAILED,https://isissverdi.it/wp-content/uploads/2023/06/5CLSA-Scienze-Applicate-Doc-15-maggio-2022-23.pdf
TNPM01000X,DOWNLOADED,https://www.rosmini-borgomanero.it/wp-content/uploads/2025/01/Piano-Triennale-dellOfferta-Formativa-A.S.-2025-2028.pdf
BSIC83900G,DOWNLOADED,https://www.iccrosiamirto.edu.it/web/wp-content/uploads/2024/09/timbro_CIRCOLARE-INTERNA-N.-41-RAV-PIANO-DI-MIGLIORAMENTO-PTOF-signed.pdf
TAIS00600G,FAILED,https://www.lentinieinstein-mottola.edu.it/oldsite/attachments/article/118/Progetto+autorizzato.pdf
NATFGA500B,DOWNLOADED,https://backend.orbit.dtu.dk/ws/portalfiles/portal/106717071/TransmissionNIR_Kamran_et_al_MAR_69_3.pdf
