Timestamp,Context,Provider,Model,Prompt Tokens,Completion Tokens,Cost ($),Cumulative Cost ($)
2026-01-05 14:12:15,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7763,1350,0.001316,0.078917
2026-01-05 14:12:22,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7642,1540,0.00138,0.080297
2026-01-05 14:12:31,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7606,1873,0.00151,0.081807
2026-01-05 14:12:39,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7286,1404,0.00129,0.083097
2026-01-05 14:12:46,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7298,1498,0.001329,0.084426
2026-01-05 14:12:55,activity_extraction,openrouter,google/gemini-2.5-flash-lite,9832,2033,0.001796,0.086222
2026-01-05 14:13:02,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7512,1793,0.001468,0.087690
2026-01-05 14:13:10,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7613,1564,0.001387,0.089077
2026-01-05 14:13:18,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7971,1806,0.00152,0.090597
2026-01-05 14:13:26,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7878,1634,0.001441,0.092038
2026-01-05 14:13:33,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7444,1409,0.001308,0.093346
2026-01-05 14:13:43,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7249,2124,0.001575,0.094921
2026-01-05 14:13:51,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7434,1833,0.001477,0.096398
2026-01-05 14:14:00,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8065,1648,0.001466,0.097864
2026-01-05 14:14:08,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7658,1932,0.001539,0.099403
2026-01-05 14:14:16,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7865,1519,0.001394,0.100797
2026-01-05 14:14:24,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8138,1660,0.001478,0.102275
2026-01-05 14:14:34,activity_extraction,openrouter,google/gemini-2.5-flash-lite,6978,1932,0.001471,0.103746
2026-01-05 14:14:42,activity_extraction,openrouter,google/gemini-2.5-flash-lite,9025,1461,0.001487,0.105233
2026-01-05 14:14:50,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8596,1639,0.001515,0.106748
2026-01-05 14:14:57,activity_extraction,openrouter,google/gemini-2.5-flash-lite,5200,1694,0.001198,0.107946
2026-01-05 14:15:05,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7569,1446,0.001335,0.109281
2026-01-05 14:15:13,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7524,1516,0.001359,0.110640
2026-01-05 14:15:22,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7992,1652,0.00146,0.112100
2026-01-05 14:15:29,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7701,1432,0.001343,0.113443
2026-01-05 14:15:37,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7542,1733,0.001447,0.114890
2026-01-05 14:15:45,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7981,1705,0.00148,0.116370
2026-01-05 14:15:54,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7642,1894,0.001522,0.117892
2026-01-05 14:16:01,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7270,1405,0.001289,0.119181
2026-01-05 14:16:10,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7252,1917,0.001492,0.120673
2026-01-05 14:16:18,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7348,1931,0.001507,0.122180
2026-01-05 14:16:25,activity_extraction,openrouter,google/gemini-2.5-flash-lite,5306,1171,0.000999,0.123179
2026-01-05 14:16:33,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7427,1775,0.001453,0.124632
2026-01-05 14:16:42,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7929,1625,0.001443,0.126075
2026-01-05 14:16:50,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7580,1866,0.001504,0.127579
2026-01-05 14:16:59,activity_extraction,openrouter,google/gemini-2.5-flash-lite,4618,1643,0.001119,0.128698
2026-01-05 14:17:08,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7789,1534,0.001393,0.130091
2026-01-05 14:17:16,activity_extraction,openrouter,google/gemini-2.5-flash-lite,6843,1813,0.00141,0.131501
2026-01-05 14:17:26,activity_extraction,openrouter,google/gemini-2.5-flash-lite,9675,2200,0.001848,0.133349
2026-01-05 14:17:33,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7429,1307,0.001266,0.134615
2026-01-05 14:17:41,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8002,1779,0.001512,0.136127
2026-01-05 14:17:49,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7407,1771,0.001449,0.137576
2026-01-05 14:17:58,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7733,1941,0.00155,0.139126
2026-01-05 14:18:05,activity_extraction,openrouter,google/gemini-2.5-flash-lite,7774,1621,0.001426,0.140552
2026-01-05 14:18:21,activity_extraction,openrouter,google/gemini-2.5-flash-lite,8131,1464,0.001399,0.141951
