COIS00400G;SANT'ELIA;CANTÙ;www.istitutosantelia.edu.it;
SAIC8BN00X;GIACOMO LEOPARDI;MAIORI;http://www.icmaiori.edu.it;
TOIS044009;ALDO MORO;RIVAROLO CANAVESE;www.istitutomoro.edu.it;
TOPS10000T;ISACCO NEWTON;CHIVASSO;www.liceonewton.it;
METD05000E;LEONARDO DA VINCI;MILAZZO;davincimilazzo.edu.it;
SAPC01000C;GIAN BATTISTA VICO;NOCERA INFERIORE;http://www.liceovico.edu.it;
LC1M00400L;DON GUANELLA;LECCO;donguanellalecco.it;
RMIS05700X;ENRICO MATTEI;CERVETERI;http://www.enricomattei.edu.it;
LTPS04000R;LEONARDO DA VINCI;TERRACINA;liceoterracina.edu.it;
REPS030008;ALDO MORO;REGGIO NELL'EMILIA;http://www.liceomoro.edu.it;
