istituto;nome;citta
RMIS112007;GUGLIELMO MARCONI;CIVITAVECCHIA
PZIS02100C;Q. ORAZIO FLACCO;VENOSA
TPIS002005;F. D'AGUIRRE- D. ALIGHIERI;SALEMI
FEIS004001;GUIDO MONACO DI POMPOSA;CODIGORO
PATDEE500L;NICCOLO' MACHIAVELLI;PALERMO
BLIS00100B;ENRICO FERMI;PIEVE DI CADORE
TVIS004007;GIUSEPPE VERDI;VALDOBBIADENE
VIPS08000D;L.S. DA VINCI ARZIGNANO;ARZIGNANO
RERF070004;I.P.S.S.I. MARIO CARRARA;GUASTALLA
PSTF01000N;E. MATTEI;URBINO
MBPSIE500B;COLLEGIO S. ANTONIO - OPZIONE SCIENZE APPLICATE;BUSNAGO
BLIS011002;SEGATO;BELLUNO
AVTLU25001;CENTRO SCOLASTICO KENNEDY;AVELLINO
PEIS00300X;E. ALESSANDRINI;MONTESILVANO
TNCF005001;OPERA ARMIDA BARELLI - ROVERETO;ROVERETO
CTSL01000A;EMILIO GRECO;CATANIA
MIRC300004;IPSSCSI W. KANDINSKY;MILANO
FGPM03000E;POERIO;FOGGIA
MIMM01900D;SETTI CARRARO DALLA CHIESA;MILANO
VRIC851008;10 - BORGO ROMA EST;VERONA
SOIC82100B;PAESI OROBICI;SONDRIO
MIIC836006;DON LORENZO MILANI;TURBIGO
NA1M03300T;FONDAZIONE ROMANO GUARDINI SACRO CUORE;NAPOLI
CTIC8AJ00Q;G. GALILEI - G. MAZZINI;GRAMMICHELE
BG1M02700A;SACRO CUORE;VILLA D'ADDA
TV1M00900Q;BALBI - VALIER;PIEVE DI SOLIGO
NAIC80800G;BONGHI;NAPOLI
SRIC823006;I IC - PIRANDELLO;CARLENTINI
TEIC82400B;CASTELLALTO - CELLINO ATTANASIO;CASTELLALTO
MIIC8BF00G;RITA LEVI MONTALCINI;GORGONZOLA
FGIC80800P;MATTINATA;MATTINATA
TNIC82900A;BASSA ANAUNIA - TUENNO;DENNO
MN1M001009;REDENTORE;MANTOVA
LEIS03100A;A. DE PACE;LECCE
CSIS06700R;SAN MARCO ARGENTANO ITCG - LC;SAN MARCO ARGENTANO
MITD330007;PRIMO LEVI;BOLLATE
PAPM04000V;LICEO REGINA MARGHERITA;PALERMO
CAIS00200C;AZUNI;CAGLIARI
BNIS01100L;VIRGILIO;BENEVENTO
BAIS05300C;LUIGI RUSSO;MONOPOLI
TAIS00600G;LENTINI - L. S. EINSTEIN;MOTTOLA
MOIS00200C;PRIMO LEVI;VIGNOLA
CRIS01600C;I.I.S. "BRUNO MUNARI";CREMA
RGIS01300V;GALILEO FERRARIS;RAGUSA
FRPC02500X;SAN BERNARDO;VEROLI
SARA010005;AGRICOLTURA E AMBIENTE;SALERNO
SSPS05000G;LORENZO MOSSA;OLBIA
GERI07000P;GASLINI - MEUCCI;GENOVA
SIIS00300R;SAN GIOVANNI BOSCO;COLLE DI VAL D'ELSA
ALIS004002;BENVENUTO CELLINI;VALENZA
SAPC040008;F. DE SANCTIS;SALERNO
RGIS01300V;GALILEO FERRARIS;RAGUSA
GEIS003009;E. MONTALE - NUOVO I.P.C.;GENOVA
BSIS01700V;ROVATO LORENZO GIGLI;ROVATO
CSIS06800L;IIS CARIATI LS - IPSC-IPSIA-ITI;CARIATI
CBIS002003;MARIO PAGANO;CAMPOBASSO
